plant_id,Row,Range,Row_Range,id,area_calculation
20RITI21224,13,24,13_24,427,1.518438143
20RITI21324,14,24,14_24,428,1.190387055
20RITI21424,15,24,15_24,429,1.239704575
20RITI21524,16,24,16_24,430,1.69609054
20RITI21624,17,24,17_24,431,1.383572432
20RITI21724,18,24,18_24,432,1.276182651
20RITI20025,1,25,1_25,433,1.352951071
20RITI20125,2,25,2_25,434,1.050570243
20RITI20225,3,25,3_25,435,1.281118857
20RITI20325,4,25,4_25,436,1.112488063
20RITI20425,5,25,5_25,437,1.520013449
20RITI20525,6,25,6_25,438,1.061155146
20RITI20625,7,25,7_25,439,1.423422614
20RITI20725,8,25,8_25,440,1.368946226
20RITI20825,9,25,9_25,441,1.425669141
20RITI20925,10,25,10_25,442,0.945866758
20RITI21025,11,25,11_25,443,1.131852111
20RITI21125,12,25,12_25,444,1.220559268
20RITI21225,13,25,13_25,445,1.455391957
20RITI21325,14,25,14_25,446,1.15121334
20RITI21425,15,25,15_25,447,1.266956626
20RITI21525,16,25,16_25,448,1.651507249
20RITI21625,17,25,17_25,449,1.625381279
20RITI21725,18,25,18_25,450,1.312202607
20RITI20026,1,26,1_26,451,1.414871946
20RITI20126,2,26,2_26,452,1.493223395
20RITI20226,3,26,3_26,453,1.523836566
20RITI20326,4,26,4_26,454,1.199615853
20RITI20426,5,26,5_26,455,1.415093333
20RITI20526,6,26,6_26,456,1.535555041
20RITI20626,7,26,7_26,457,1.778259291
20RITI20726,8,26,8_26,458,1.542527839
20RITI20826,9,26,9_26,459,1.302288216
20RITI20926,10,26,10_26,460,1.280673076
20RITI21026,11,26,11_26,461,1.441889385
20RITI21126,12,26,12_26,462,1.158410219
20RITI21226,13,26,13_26,463,1.403391105
20RITI21326,14,26,14_26,464,1.228891231
20RITI21426,15,26,15_26,465,1.461478849
20RITI21526,16,26,16_26,466,1.509201395
20RITI21626,17,26,17_26,467,1.357232213
20RITI21726,18,26,18_26,468,1.194223755
20RITI20027,1,27,1_27,469,1.126889782
20RITI20127,2,27,2_27,470,1.122391153
20RITI20227,3,27,3_27,471,1.481288607
20RITI20327,4,27,4_27,472,1.144909474
20RITI20427,5,27,5_27,473,1.74290579
20RITI20527,6,27,6_27,474,1.316022622
20RITI20627,7,27,7_27,475,1.558524953
20RITI20727,8,27,8_27,476,1.421840671
20RITI20827,9,27,9_27,477,1.12554313
20RITI20927,10,27,10_27,478,1.00621051
20RITI21027,11,27,11_27,479,1.264687682
20RITI21127,12,27,12_27,480,1.142666326
20RITI21227,13,27,13_27,481,1.574052696
20RITI21327,14,27,14_27,482,1.168773131
20RITI21427,15,27,15_27,483,1.53329442
20RITI21527,16,27,16_27,484,1.404296784
20RITI21627,17,27,17_27,485,1.43941768
20RITI21727,18,27,18_27,486,1.225282806
20RITI20028,1,28,1_28,487,1.522265977
20RITI20128,2,28,2_28,488,1.274818503
20RITI20228,3,28,3_28,489,1.530142907
20RITI20328,4,28,4_28,490,1.566846595
20RITI20428,5,28,5_28,491,1.310168699
20RITI20528,6,28,6_28,492,1.297561456
20RITI20628,7,28,7_28,493,1.029410599
20RITI20728,8,28,8_28,494,1.540050123
