plant_id,source_id,germplasm_id,experiment_id,planting_date,row,range,rep
20RITI20173,TLI_4201_A_52,TLI_4201_A_52,20_RIC_KERNZA_C0HSF,2020-05-14,2,73,1
20RITI20174,TLI_1648_06,TLI_1648_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,74,1
20RITI20175,TLI_14172_51,TLI_14172_51,20_RIC_KERNZA_C0HSF,2020-05-14,2,75,1
20RITI20176,UM2014_0132_16,UM2014_0132_16,20_RIC_KERNZA_C0HSF,2020-05-14,2,76,1
20RITI20177,TLI_6470_21,TLI_6470_21,20_RIC_KERNZA_C0HSF,2020-05-14,2,77,1
20RITI20178,TLI_12869_04,TLI_12869_04,20_RIC_KERNZA_C0HSF,2020-05-14,2,78,1
20RITI20179,TLI_1648_51,TLI_1648_51,20_RIC_KERNZA_C0HSF,2020-05-14,2,79,1
20RITI20180,MN_1502_Syn2_46,MN_1502_Syn2_46,20_RIC_KERNZA_C0HSF,2020-05-14,2,80,1
20RITI20181,MN_1505_Syn2_09,MN_1505_Syn2_09,20_RIC_KERNZA_C0HSF,2020-05-14,2,81,1
20RITI20182,TLI_3719_20,TLI_3719_20,20_RIC_KERNZA_C0HSF,2020-05-14,2,82,1
20RITI20183,TLI_12869_42,TLI_12869_42,20_RIC_KERNZA_C0HSF,2020-05-14,2,83,1
20RITI20184,MN_1504_Syn2_16,MN_1504_Syn2_16,20_RIC_KERNZA_C0HSF,2020-05-14,2,84,1
20RITI20185,TLI_14172_70,TLI_14172_70,20_RIC_KERNZA_C0HSF,2020-05-14,2,85,1
20RITI20186,TLI_1523_46,TLI_1523_46,20_RIC_KERNZA_C0HSF,2020-05-14,2,86,1
20RITI20187,MN_1503_Syn2_10,MN_1503_Syn2_10,20_RIC_KERNZA_C0HSF,2020-05-14,2,87,1
20RITI20188,TLI_14172_54,TLI_14172_54,20_RIC_KERNZA_C0HSF,2020-05-14,2,88,1
20RITI20189,TLI_1648_21,TLI_1648_21,20_RIC_KERNZA_C0HSF,2020-05-14,2,89,1
20RITI20190,TLI_3078_10,TLI_3078_10,20_RIC_KERNZA_C0HSF,2020-05-14,2,90,1
20RITI20191,UM2014_0165_42,UM2014_0165_42,20_RIC_KERNZA_C0HSF,2020-05-14,2,91,1
20RITI20192,TLI_5250_36,TLI_5250_36,20_RIC_KERNZA_C0HSF,2020-05-14,2,92,1
20RITI20193,MN_1505_Syn2_54,MN_1505_Syn2_54,20_RIC_KERNZA_C0HSF,2020-05-14,2,93,1
20RITI20194,UM2014_0175_07,UM2014_0175_07,20_RIC_KERNZA_C0HSF,2020-05-14,2,94,1
20RITI20195,UM2014_0152_77,UM2014_0152_77,20_RIC_KERNZA_C0HSF,2020-05-14,2,95,1
20RITI20196,MN_1503_Syn2_23,MN_1503_Syn2_23,20_RIC_KERNZA_C0HSF,2020-05-14,2,96,1
20RITI20197,UM2014_0001_52,UM2014_0001_52,20_RIC_KERNZA_C0HSF,2020-05-14,2,97,1
20RITI20198,MN_1502_Syn2_47,MN_1502_Syn2_47,20_RIC_KERNZA_C0HSF,2020-05-14,2,98,1
20RITI20199,TLI_12869_76,TLI_12869_76,20_RIC_KERNZA_C0HSF,2020-05-14,2,99,1
20RITI20200,TLI_1648_23,TLI_1648_23,20_RIC_KERNZA_C0HSF,2020-05-14,2,100,1
20RITI20201,TLI_1648_59,TLI_1648_59,20_RIC_KERNZA_C0HSF,2020-05-14,3,1,1
