plot,gsdplot,
20RITI21095,14.55,
20RITI21096,28.51,
20RITI21097,9.33,
20RITI21098,8.97,
20RITI21099,16.68,
20RITI21100,5.05,
20RITI21101,17.85,
20RITI21102,22.92,
20RITI21103,12.54,
20RITI21104,46.12,
20RITI21105,40,
20RITI21106,7.75,
20RITI21107,8.03,
20RITI21108,7.76,
20RITI21109,23.05,
20RITI21110,19.32,
20RITI21111,28.06,
20RITI21112,39.74,
20RITI21113,69.4,
20RITI21114,58.81,
20RITI21115,30.75,
20RITI21116,40.11,
20RITI21117,25.63,
20RITI21118,26.18,
20RITI21119,15.29,
20RITI21120,9.31,
20RITI21121,25.96,
20RITI21122,20.01,
20RITI21123,32.9,
20RITI21124,30.8,
20RITI21125,21.81,
20RITI21126,31.55,
20RITI21127,20.03,
20RITI21128,41.96,
20RITI21129,24.55,
20RITI21130,48.21,
20RITI21131,77.62,
20RITI21132,41.04,
20RITI21133,41.9,
20RITI21134,53.42,
20RITI21135,9.67,
20RITI21136,29.38,
20RITI21137,38.16,
20RITI21138,9.52,
20RITI21139,25.23,
20RITI21140,58.3,
20RITI21141,9.61,
20RITI21142,47.36,
20RITI21143,54.7,
20RITI21144,30,
20RITI21145,42.62,
20RITI21146,17.49,
20RITI21147,40.77,
20RITI21148,28.19,
20RITI21149,37.47,
20RITI21150,36.76,
20RITI21151,86.8,
20RITI21152,51.63,
20RITI21153,52.21,
20RITI21154,20.45,
20RITI21155,12.88,
20RITI21156,35.88,
20RITI21157,13.56,
20RITI21158,10.18,
20RITI21159,50.8,
20RITI21160,56.46,
20RITI21161,5.13,
20RITI21162,39.08,
20RITI21163,47.83,
20RITI21164,69.76,
20RITI21165,40.4,
